config_id,alpha,beta,gamma,ridge_lambda,ratio_estimator,clipping,candidate_pool_size,adaptive_gamma,ess_floor,cond_ref,gamma_ess_scale,gamma_cond_scale,pooled_gap_mean,pooled_p_value,pooled_test,pooled_n_pairs,stability_mse_mean,pooled_mse_mean,holm_adjusted_p,stability_beats_pooled,holm_significant
cfg_0061,0.1,0.0,0.1,0.0001,logistic_ratio_proxy,p99,8,True,200.0,120.0,0.8,0.25,-0.004087715942833674,0.017171300013161073,paired_wilcoxon,25,0.08178174247653094,0.08586945841936461,1.0,True,False
cfg_0169,0.1,0.1,0.5,1e-05,logistic_ratio_proxy,none,8,True,200.0,120.0,0.8,0.25,-0.004085186030616294,0.043476925902070605,paired_wilcoxon,25,0.08163171874909567,0.08571690477971197,1.0,True,False
cfg_0185,0.1,0.1,0.5,0.0001,logistic_ratio_proxy,none,8,True,200.0,120.0,0.8,0.25,-0.0040851648521820685,0.043476925902070605,paired_wilcoxon,25,0.08163173972217003,0.0857169045743521,1.0,True,False
cfg_0136,0.1,0.1,0.1,1e-05,logistic_ratio_proxy,none,8,False,200.0,120.0,0.8,0.25,-0.004056204326017306,0.054371707279341486,paired_wilcoxon,25,0.08166070045369465,0.08571690477971197,1.0,True,False
cfg_0152,0.1,0.1,0.1,0.0001,logistic_ratio_proxy,none,8,False,200.0,120.0,0.8,0.25,-0.004056183450728929,0.054371707279341486,paired_wilcoxon,25,0.08166072112362316,0.0857169045743521,1.0,True,False
cfg_0269,0.3,0.0,0.5,1e-05,logistic_ratio_proxy,p99,8,True,200.0,120.0,0.8,0.25,-0.003997452293825117,0.018350701665463064,paired_wilcoxon,25,0.08187200632527816,0.08586945861910326,1.0,True,False
cfg_0285,0.3,0.0,0.5,0.0001,logistic_ratio_proxy,p99,8,True,200.0,120.0,0.8,0.25,-0.003997434932818955,0.018350701665463064,paired_wilcoxon,25,0.08187202348654565,0.08586945841936461,1.0,True,False
cfg_0236,0.3,0.0,0.1,1e-05,logistic_ratio_proxy,p99,8,False,200.0,120.0,0.8,0.25,-0.003981838527038162,0.017171300013161073,paired_wilcoxon,25,0.08188762009206511,0.08586945861910326,1.0,True,False
cfg_0237,0.3,0.0,0.1,1e-05,logistic_ratio_proxy,p99,8,True,200.0,120.0,0.8,0.25,-0.003981838527038162,0.017171300013161073,paired_wilcoxon,25,0.08188762009206511,0.08586945861910326,1.0,True,False
cfg_0252,0.3,0.0,0.1,0.0001,logistic_ratio_proxy,p99,8,False,200.0,120.0,0.8,0.25,-0.003981827928524181,0.017171300013161073,paired_wilcoxon,25,0.08188763049084043,0.08586945841936461,1.0,True,False
cfg_0253,0.3,0.0,0.1,0.0001,logistic_ratio_proxy,p99,8,True,200.0,120.0,0.8,0.25,-0.003981827928524181,0.017171300013161073,paired_wilcoxon,25,0.08188763049084043,0.08586945841936461,1.0,True,False
cfg_0292,0.3,0.1,0.0,1e-05,gaussian_diag_proxy,p99,8,False,200.0,120.0,0.8,0.25,-0.0039646643783385945,0.2995702146384225,paired_wilcoxon,25,0.0907372421858593,0.09470190656419789,1.0,True,False
cfg_0293,0.3,0.1,0.0,1e-05,gaussian_diag_proxy,p99,8,True,200.0,120.0,0.8,0.25,-0.0039646643783385945,0.2995702146384225,paired_wilcoxon,25,0.0907372421858593,0.09470190656419789,1.0,True,False
cfg_0308,0.3,0.1,0.0,0.0001,gaussian_diag_proxy,p99,8,False,200.0,120.0,0.8,0.25,-0.003964644202210291,0.2995702146384225,paired_wilcoxon,25,0.09073726196777081,0.0947019061699811,1.0,True,False
